_d,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2022-04-14,125.56710832641765,124.44491982214777,104.97214028608587,107.95514588356491,95.25758926157461,114.12399024318621,129.6198435582237,114.81399518275323,109.60227552530193,115.37233027951454,113.5604516565896,112.2944912123374,101.12209813039834,99.98116772201196,121.85984971500963,157.0339155588024,140.29835031105557,165.2225782020684,143.28757226729303,140.46295074581124,149.50739017610258,143.41989408971463,121.45595379937134,116.00580601350053
2022-04-15,124.33950816755232,122.56571749596402,114.59650130735422,123.42647786835008,95.26536267382619,121.03688914422368,107.56389786114656,114.054598074492,108.427958752392,113.83885911141284,111.5984495145045,110.53183380072555,101.12262450578389,100.97790448531204,114.43375749664058,119.87792922601369,164.80839225281466,158.21332600189655,154.51510914312922,141.68813054414701,149.85251075331396,147.75864887292903,155.57340115347455,116.66627974276405
2022-04-16,124.67215844886115,107.01075988027557,134.15526522101925,112.4672231978128,93.02116614082775,180.3484012627628,100.59233105508777,88.69313903685494,90.9752517307547,90.75746897117617,90.86431246647011,92.29802617305745,78.8112998035951,81.00009243771399,84.04168659108873,103.69200487094446,95.57622079576747,101.58619109885986,112.693812948379,122.94316651511832,139.07867005184278,136.9083876285227,100.65340317816697,87.93891353803149
2022-04-17,21.583352401225753,13.268611668844526,6.851889956884501,14.185634345327333,83.93987857494125,7.025162449724565,7.283692670344145,8.959605483021257,35.24844076918059,18.551768645181575,19.06308821847936,14.872598354701527,13.699207170923042,19.58823535272349,1.8548735381416424,3.636407788979057,4.979270594855192,11.80695823661529,12.29226949364108,20.562682924671403,32.72594792399673,30.90780991473047,15.33896314457952,10.666351486001446
2022-04-18,119.57086130339194,95.0837309643984,62.66831105482066,50.87657263651264,60.228839700482325,60.66107441691533,61.643360788963,77.7361014105035,101.17408742618089,105.11208773141205,102.89734867420738,104.00269627863076,92.47265543162901,93.51671308152216,98.0177657478244,101.46753834838442,109.63915804903064,236.41413864652,119.90683334006715,126.6548533407166,151.1221306089279,152.09157876112852,110.04501696835754,106.20795311574403
2022-04-19,126.6589269976219,121.17959655429657,95.50020244385787,197.5195297102997,231.3663642733925,299.99910204094226,89.36330693211815,74.50851260365299,104.18197650370375,106.28436319778393,104.95818437127082,109.00497351515763,75.19162950687627,82.67026172735756,87.0651441132398,96.4160075830351,99.58449211280039,114.21441639512194,120.19726632911885,150.15878603261444,158.65825717728939,158.25892880967183,110.44549350948232,114.60434527211946
2022-04-20,128.2620844794356,119.7491896680535,117.39319925800501,96.7017325466244,97.34718400078533,97.54262532318576,113.30937697348301,107.87174093380949,117.96045010787981,122.02827918444784,117.5153163572853,119.87903870085366,107.46340014037965,106.943585404015,115.58839733288234,115.87356372308035,111.78300213044268,111.5880673145238,116.1362293458094,143.7739866004967,156.91551223885583,155.34054729708095,142.60266114764653,128.877372224543
2022-04-21,133.9616620324824,106.8252296949529,118.68975083549714,97.90991602682878,98.63138537983288,98.77380814316894,105.76868682961432,98.4938004728203,119.02767973317356,125.12314069497931,117.69301662868033,115.5929688869743,106.11232895239107,109.27154144392013,115.20299441463432,114.03595893462297,113.50930853290863,119.43666849290055,139.63047486722692,149.0831177970602,160.22064316779912,160.42594841742869,139.7478646063574,117.70110618535625
2022-04-22,140.3096315441551,110.05036547991983,122.35125946953816,98.27906683684128,99.16804370890465,99.25872331463898,115.7574065979949,105.96777328184147,121.26529288168284,121.89855939420156,112.6465566375511,108.64168293319597,95.23280359905878,98.67869484132126,102.31317665900734,102.83644280521541,104.54895315393057,120.04249733483947,141.63652526745972,149.2577592969203,167.25878457321315,166.98709106259471,152.30001357053916,129.1196450897065
2022-04-23,144.51436316993224,105.42356233471394,99.31187255894105,98.75849997204537,99.70725563504881,99.71220774026548,86.78887207644198,69.30662359077772,98.40791797472956,97.7905878715388,89.03491819503908,82.36119920712076,62.32905114048791,56.27848081213412,72.38987309238976,68.42874621165473,74.7187440735732,100.28183060948074,137.7932971609684,149.78392859913365,160.60136855033807,158.03784026384832,129.00672861603223,112.6162008473673
